Column1,Column2
Revenue (ttm),10.73B
Revenue Per Share (ttm),17.64
Quarterly Revenue Growth (yoy),-30.80%
Gross Profit (ttm),7.17B
EBITDA,3.16B
Net Income Avi to Common (ttm),3.29B
Diluted EPS (ttm),5.30
Quarterly Earnings Growth (yoy),-68.30%
