Column1,Column2
Revenue (ttm),70.39B
Revenue Per Share (ttm),15.57
Quarterly Revenue Growth (yoy),-2.70%
Gross Profit (ttm),43.74B
EBITDA,32.42B
Net Income Avi to Common (ttm),19.75B
Diluted EPS (ttm),4.30
Quarterly Earnings Growth (yoy),-16.50%
