Column1,Column2
Revenue (ttm),5.87B
Revenue Per Share (ttm),5.71
Quarterly Revenue Growth (yoy),-12.80%
Gross Profit (ttm),2.49B
EBITDA,496M
Net Income Avi to Common (ttm),191M
Diluted EPS (ttm),0.18
Quarterly Earnings Growth (yoy),-69.80%
